,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.4740473747253418,0.011317538908508671,0.2831287860870361,0.006921994824324399,0.1,,1,rbf,"{'C': 0.1, 'class_weight': None, 'gamma': 1, 'kernel': 'rbf'}",0.6900834105653383,0.6679702048417132,0.6583504002978962,0.6826671647366455,0.6878612716763005,0.6773864904235787,0.012246285200105638,95
1,0.34610300064086913,0.01579542152318508,0.05241661071777344,0.0061428914528932465,0.1,,1,linear,"{'C': 0.1, 'class_weight': None, 'gamma': 1, 'kernel': 'linear'}",0.7283046503112415,0.6841234840132304,0.6791237113402061,0.7058497877837239,0.7422491286002567,0.7079301524097317,0.024469608561293404,77
2,0.449810266494751,0.05193133478727053,0.3132422924041748,0.020584497703449108,0.1,,0.1,rbf,"{'C': 0.1, 'class_weight': None, 'gamma': 0.1, 'kernel': 'rbf'}",0.7863777089783281,0.7968265548057634,0.7476635514018692,0.778125,0.8006230529595015,0.7819231736290926,0.018866833230382785,70
3,0.4225025653839111,0.017255717248597088,0.053893327713012695,0.0067834891884792055,0.1,,0.1,linear,"{'C': 0.1, 'class_weight': None, 'gamma': 0.1, 'kernel': 'linear'}",0.7283046503112415,0.6841234840132304,0.6791237113402061,0.7058497877837239,0.7422491286002567,0.7079301524097317,0.024469608561293404,77
4,0.7158665657043457,0.024684343385393527,0.46350851058959963,0.0763938869181932,0.1,,0.01,rbf,"{'C': 0.1, 'class_weight': None, 'gamma': 0.01, 'kernel': 'rbf'}",0.7279048490393414,0.6688729545872404,0.6767416144489494,0.6855345911949685,0.7407611693325977,0.6999630357206195,0.02884177595067747,94
5,0.5316417217254639,0.06302827483206148,0.05682120323181152,0.0014726308382416351,0.1,,0.01,linear,"{'C': 0.1, 'class_weight': None, 'gamma': 0.01, 'kernel': 'linear'}",0.7283046503112415,0.6841234840132304,0.6791237113402061,0.7058497877837239,0.7422491286002567,0.7079301524097317,0.024469608561293404,77
6,0.7211997985839844,0.08312620248069677,0.5313759803771972,0.07245664275078526,0.1,,0.001,rbf,"{'C': 0.1, 'class_weight': None, 'gamma': 0.001, 'kernel': 'rbf'}",0.03322259136212624,0.023351648351648352,0.026677128285602196,0.010015710919088767,0.013351659139996074,0.021323747611692326,0.008553121501416508,96
7,0.43588929176330565,0.037092455757609846,0.06523966789245605,0.023405526303400394,0.1,,0.001,linear,"{'C': 0.1, 'class_weight': None, 'gamma': 0.001, 'kernel': 'linear'}",0.7283046503112415,0.6841234840132304,0.6791237113402061,0.7058497877837239,0.7422491286002567,0.7079301524097317,0.024469608561293404,77
8,0.6156164646148682,0.01493756553066756,0.31606569290161135,0.005595979383287373,0.1,balanced,1,rbf,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'rbf'}",0.8703703703703703,0.8456632653061225,0.8368277119416591,0.8932676518883415,0.8760964912280702,0.8644450981469127,0.020577077933957452,33
9,0.4309537887573242,0.02396608315314145,0.0586184024810791,0.008908402407823575,0.1,balanced,1,linear,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'linear'}",0.79470918644682,0.775677149609162,0.7645666423889294,0.8061280320992158,0.8031982554970017,0.7888558532082258,0.01613653102642375,54
10,0.5623353958129883,0.05530629437676319,0.3215001583099365,0.01030098596534206,0.1,balanced,0.1,rbf,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.8469314079422382,0.8553846153846154,0.8243734108245551,0.8717948717948718,0.8765432098765432,0.8550055031645647,0.018705162550894924,36
11,0.578180456161499,0.04248293951295964,0.07163219451904297,0.013943276881264625,0.1,balanced,0.1,linear,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'linear'}",0.79470918644682,0.775677149609162,0.7645666423889294,0.8061280320992158,0.8031982554970017,0.7888558532082258,0.01613653102642375,54
12,0.6599761486053467,0.07079706139798776,0.2924965858459473,0.01945316438605934,0.1,balanced,0.01,rbf,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",0.8150895603401485,0.7850909090909092,0.7939305833181902,0.8199854386603568,0.8130569194398981,0.8054306821699007,0.013485199304470369,47
13,0.44368577003479004,0.027072155661731285,0.05699853897094727,0.007737645254543413,0.1,balanced,0.01,linear,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'linear'}",0.79470918644682,0.775677149609162,0.7645666423889294,0.8061280320992158,0.8031982554970017,0.7888558532082258,0.01613653102642375,54
14,0.813173484802246,0.014153484132650728,0.41202554702758787,0.021173063737554274,0.1,balanced,0.001,rbf,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.001, 'kernel': 'rbf'}",0.762165117550574,0.6952136438657619,0.7088537839823659,0.7053291536050156,0.7457782672540384,0.7234679932515513,0.02583066638931565,75
15,0.4207634449005127,0.03226267878371829,0.052152824401855466,0.0035642913040294425,0.1,balanced,0.001,linear,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.001, 'kernel': 'linear'}",0.79470918644682,0.775677149609162,0.7645666423889294,0.8061280320992158,0.8031982554970017,0.7888558532082258,0.01613653102642375,54
