,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.7719611644744873,0.05329830989680333,0.4849827766418457,0.01614957480772453,0.1,,1,rbf,"{'C': 0.1, 'class_weight': None, 'gamma': 1, 'kernel': 'rbf'}",0.6987874920229739,0.6788931788931789,0.6688102893890675,0.698959687906372,0.7013574660633484,0.6893616228549881,0.013090574798618672,95
1,0.5704521179199219,0.038744861148355535,0.08591785430908203,0.024410626947645887,0.1,,1,linear,"{'C': 0.1, 'class_weight': None, 'gamma': 1, 'kernel': 'linear'}",0.7160342717258262,0.6734317343173432,0.6714108910891089,0.7018091079226451,0.7278287461773698,0.6981029502464586,0.022538969612313074,77
2,0.5860741615295411,0.04212712262972491,0.36946988105773926,0.09152999613159407,0.1,,0.1,rbf,"{'C': 0.1, 'class_weight': None, 'gamma': 0.1, 'kernel': 'rbf'}",0.7636800962116658,0.7708458308338333,0.7312614259597807,0.7666256157635468,0.7830591102985984,0.7630944158134849,0.017232673027384748,53
3,0.5999833583831787,0.07759777556068925,0.07550745010375977,0.015169553535332028,0.1,,0.1,linear,"{'C': 0.1, 'class_weight': None, 'gamma': 0.1, 'kernel': 'linear'}",0.7160342717258262,0.6734317343173432,0.6714108910891089,0.7018091079226451,0.7278287461773698,0.6981029502464586,0.022538969612313074,77
4,0.6998130321502686,0.028573527475293594,0.4001008987426758,0.02905779600699693,0.1,,0.01,rbf,"{'C': 0.1, 'class_weight': None, 'gamma': 0.01, 'kernel': 'rbf'}",0.7147220525351253,0.6592729513247072,0.670807453416149,0.6855345911949685,0.7301293900184842,0.6920932876978869,0.026578501832637786,94
5,0.47121243476867675,0.04240712523260623,0.06716127395629883,0.005342856083149875,0.1,,0.01,linear,"{'C': 0.1, 'class_weight': None, 'gamma': 0.01, 'kernel': 'linear'}",0.7160342717258262,0.6734317343173432,0.6714108910891089,0.7018091079226451,0.7278287461773698,0.6981029502464586,0.022538969612313074,77
6,0.7259888172149658,0.02954931396190532,0.6140847682952881,0.09390573638714647,0.1,,0.001,rbf,"{'C': 0.1, 'class_weight': None, 'gamma': 0.001, 'kernel': 'rbf'}",0.038789759503491075,0.027343749999999997,0.031201248049921998,0.011755485893416927,0.015661707126076743,0.024950390114581347,0.009967092561206316,96
7,0.5820841789245605,0.10964671107070782,0.07576193809509277,0.011533117315702135,0.1,,0.001,linear,"{'C': 0.1, 'class_weight': None, 'gamma': 0.001, 'kernel': 'linear'}",0.7160342717258262,0.6734317343173432,0.6714108910891089,0.7018091079226451,0.7278287461773698,0.6981029502464586,0.022538969612313074,77
8,0.7554161548614502,0.06045450559561359,0.3896768569946289,0.013025640587557622,0.1,balanced,1,rbf,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'rbf'}",0.8392857142857143,0.8163875598086124,0.8088675853804673,0.8648648648648648,0.8514492753623188,0.8361709999403957,0.020992026961224652,13
9,0.5339003562927246,0.03979309421235211,0.060225629806518556,0.0016231922126595296,0.1,balanced,1,linear,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 1, 'kernel': 'linear'}",0.7628622117090479,0.744807121661721,0.736873508353222,0.7798440311937612,0.7705986959098992,0.7589971137655303,0.01596834023291518,56
10,0.5669890880584717,0.01665135401755865,0.33269786834716797,0.05915877588165668,0.1,balanced,0.1,rbf,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'rbf'}",0.8060747663551402,0.8133411351667642,0.7899408284023669,0.8377896613190732,0.8392434988179669,0.8172779780122623,0.018929044815642313,33
11,0.49151172637939455,0.026085828562265583,0.06722579002380372,0.006988316593281133,0.1,balanced,0.1,linear,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.1, 'kernel': 'linear'}",0.7628622117090479,0.744807121661721,0.736873508353222,0.7798440311937612,0.7705986959098992,0.7589971137655303,0.01596834023291518,56
12,0.6937918186187744,0.031102224082584024,0.3227055072784424,0.004397777862288802,0.1,balanced,0.01,rbf,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf'}",0.7798705120659212,0.7541567695961995,0.7617071724955543,0.7896305125148988,0.7813428401663697,0.7733415613677888,0.013231725729124028,51
13,0.5188207149505615,0.02037932792462203,0.06622018814086914,0.011238165186000947,0.1,balanced,0.01,linear,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'linear'}",0.7628622117090479,0.744807121661721,0.736873508353222,0.7798440311937612,0.7705986959098992,0.7589971137655303,0.01596834023291518,56
14,0.841365385055542,0.02581916546819608,0.5362905025482178,0.015931108039697696,0.1,balanced,0.001,rbf,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.001, 'kernel': 'rbf'}",0.7414104882459313,0.6811240073304826,0.6971744471744471,0.7000622277535781,0.7322303921568628,0.7104003125322604,0.022702796884221523,75
15,0.5115818500518798,0.04124617685167024,0.057936477661132815,0.002337342317491058,0.1,balanced,0.001,linear,"{'C': 0.1, 'class_weight': 'balanced', 'gamma': 0.001, 'kernel': 'linear'}",0.7628622117090479,0.744807121661721,0.736873508353222,0.7798440311937612,0.7705986959098992,0.7589971137655303,0.01596834023291518,56
