video_id,path,width,height,fps,total_frames,file_name,category_id,category_name,supercategory,color,metadata,pass_id,Frame,BoudingBox,Area_x,Circularity_x,Convexity_x,Rectangularity_x,Elongation_x,Eccentricity_x,Solidity_x,Cage,cage,Area_y,Circularity_y,Convexity_y,Rectangularity_y,Elongation_y,Eccentricity_y,Solidity_y
0,dataset/cages/cage1_red_empty.avi,1280,720,10,1102,cage1_red_empty.avi,0,cage_empty,cages,#e8e047,{},0,62,"[278, 74, 968, 551]",0.3538878038194444,0.515646047348809,0.6730995544907009,0.6144342865767186,0.5692148760330579,0.8160872469770742,0.3546570741006153,1,1,0.38001664507965366,-2.893398602936044,-2.885406752942787,-1.8538017125145998,-1.0192274709889684,0.4883342626940568,0.3800166450796535
0,dataset/cages/cage1_red_empty.avi,1280,720,10,1102,cage1_red_empty.avi,0,cage_empty,cages,#e8e047,{},0,66,"[350, 86, 930, 549]",0.4141314019097222,0.7045901430040693,0.8091942347055718,0.7496945542259552,0.5903225806451613,0.8550256356490616,0.4150316278472946,1,1,0.8147697213430933,-0.762936618026322,-0.9529588764269801,-0.20351007682524155,-0.887597440691066,0.710151570392455,0.8147697213430931
0,dataset/cages/cage1_red_empty.avi,1280,720,10,1102,cage1_red_empty.avi,0,cage_empty,cages,#e8e047,{},1,161,"[207, 172, 1073, 548]",0.4566314019097222,0.633725565085814,0.7708993050112741,0.718985119090283,0.51071761416589,0.9051038995874078,0.4576240130230393,1,1,1.1214746049642135,-1.5619787304984543,-1.496719701260319,-0.5781916061607401,-1.3840230038724617,0.9954285440902668,1.1214746049642135
0,dataset/cages/cage1_red_empty.avi,1280,720,10,1102,cage1_red_empty.avi,0,cage_empty,cages,#e8e047,{},1,163,"[79, 178, 1053, 542]",0.4524126519097222,0.5551381873707373,0.6784832345969037,0.7343290293136886,0.5147198480531814,0.867540557147269,0.4533960924357411,1,1,1.0910296348988817,-2.4481002053985947,-2.808962316079815,-0.39098270039307736,-1.3590646212569795,0.7814443559305029,1.0910296348988815
0,dataset/cages/cage1_red_empty.avi,1280,720,10,1102,cage1_red_empty.avi,0,cage_empty,cages,#e8e047,{},1,167,"[0, 210, 626, 510]",0.2919601779513889,0.8470578429580016,0.9299415174476158,0.8458011787819253,0.8146964856230032,0.6574994147837031,0.2925948318890475,1,1,-0.0668893616213872,0.8434751503687656,0.7615668475874693,0.9690734275217577,0.511623576138809,-0.41508077759408823,-0.06688936162138749
0,dataset/cages/cage1_red_empty.avi,1280,720,10,1102,cage1_red_empty.avi,0,cage_empty,cages,#e8e047,{},2,242,"[0, 156, 603, 527]",0.2845307074652777,0.7891587765464869,0.8679948593050123,0.8281125652135467,0.8739635157545605,0.636144200117261,0.2851492114514882,1,1,-0.12050477058160562,0.19062722980416683,-0.11803173625081541,0.7532571236938151,0.8812194708724413,-0.5367333776165266,-0.1205047705816051
0,dataset/cages/cage1_red_empty.avi,1280,720,10,1102,cage1_red_empty.avi,0,cage_empty,cages,#e8e047,{},2,245,"[0, 166, 740, 525]",0.2267941623263888,0.6113852577626848,0.7860670116003117,0.5466865703799737,0.7094594594594594,0.8880014094111383,0.2272871604097864,1,1,-0.5371654848759226,-1.8138795656003208,-1.281349031787247,-2.6803821364605196,-0.1446464066439375,0.8980021108139568,-0.5371654848759222
0,dataset/cages/cage1_red_empty.avi,1280,720,10,1102,cage1_red_empty.avi,0,cage_empty,cages,#e8e047,{},2,249,"[7, 154, 995, 524]",0.3973442925347222,0.4842763296254626,0.6103936658430867,0.7052792734715497,0.5266331658291458,0.860707837549556,0.3982080271770039,1,1,0.6936241112914607,-3.247111646231545,-3.775785871147863,-0.7454147144522365,-1.2847718258717562,0.7425209305625419,0.6936241112914604
0,dataset/cages/cage1_red_empty.avi,1280,720,10,1102,cage1_red_empty.avi,0,cage_empty,cages,#e8e047,{},3,342,"[561, 127, 719, 585]",0.3328358289930556,0.6446779166116585,0.7423784788622244,0.7333283868292131,0.8136300417246175,0.7069020828211932,0.3335593371473063,1,1,0.22809326886501047,-1.4384841672507453,-1.9016951921552618,-0.4031913996005026,0.5049731115224417,-0.13365241882182882,0.22809326886501036
0,dataset/cages/cage1_red_empty.avi,1280,720,10,1102,cage1_red_empty.avi,0,cage_empty,cages,#e8e047,{},3,344,"[164, 124, 1049, 546]",0.4227902560763888,0.4555014368111196,0.5715964145726139,0.6821970691996775,0.5204957102001907,0.9074852654304584,0.423709304361348,1,1,0.8772570827426166,-3.5715664276747403,-4.3266793058795106,-1.0270374652065593,-1.3230456924639646,1.0089942867407946,0.8772570827426172
0,dataset/cages/cage1_red_empty.avi,1280,720,10,1102,cage1_red_empty.avi,0,cage_empty,cages,#e8e047,{},3,346,"[0, 126, 968, 542]",0.3920513237847222,0.5312539940667894,0.6649115501043171,0.6906560242863928,0.5599173553719008,0.872223279698349,0.3929035527364585,1,1,0.6554269497743082,-2.7174093134595196,-3.0016706044349077,-0.9238309355368164,-1.0772078600845083,0.8081200593790744,0.6554269497743083
0,dataset/cages/cage1_red_empty.avi,1280,720,10,1102,cage1_red_empty.avi,0,cage_empty,cages,#e8e047,{},4,457,"[0, 67, 1254, 653]",0.4455257161458333,0.540969980513733,0.7605022046867923,0.5773440764809878,0.5207336523125997,0.9442671187778566,0.4464941860654784,1,1,1.041329474146654,-2.6078555340766543,-1.6443511473406875,-2.3063341860246873,-1.3215618585729225,1.2185266264173653,1.0413294741466546
